tanev	ossz.fo	nappali.fo	elsos.nappali.fo	kulfoldi.nappali.fo	no.nappali.fo
1990/1991	102387	76601	22662	3310	37409
1991/1992	107079	83191	25358	5842	40754
1992/1993	117460	92382	30192	6248	46197
1993/1994	133956	103713	35005	6324	53796
1994/1995	154660	116370	37934	6399	59487
1995/1996	179565	129541	42433	6300	67361
1996/1997	199032	142113	44698	6434	74122
1997/1998	233657	152889	45669	6636	80201
1998/1999	258315	163100	48886	7111	86700
1999/2000	278997	171612	51586	7711	91951
2000/2001	295040	176046	52578	7751	94435
2001/2002	313238	184071	56709	8088	99111
2002/2003	341187	193155	57763	8184	104008
2003/2004	366947	204910	59699	8850	110097
2004/2005	378466	212292	59783	9302	114952
2005/2006	380632	217245	61898	10072	116199
2006/2007	375819	224616	61231	10757	119125
2007/2008	359391	227118	55789	11435	120278
2008/2009	340851	224894	52755	12934	118381
2009/2010	328075	222564	61948	14290	116981
2010/2011	318019	218057	68715	15090	112725
2011/2012	316385	218304	70954	16450	112854
2012/2013	299636	214320	67014	17277	110714
2013/2014	282296	209208	46931	20041	108542
2014/2015	271480	203576	44867	21730	105344
2015/2016	259529	195419	43080	23038	100878
2016/2017	250707	190098	43292	25346	98245
2017/2018	247008	187084	42856	28677	96192
2018/2019	245764	185278	44449	31293	95016
