"ev"	"szemely"	"nem"	"orszag"	"kontinens"
1901	"Sully Prudhomme"	"Férfi"	"Franciaország"	"Európa"
1902	"Theodor Mommsen"	"Férfi"	"Németország"	"Európa"
1903	"Bjornstjerne Bjornson"	"Férfi"	"Norvégia"	"Európa"
1904	"Frédéric Mistral"	"Férfi"	"Franciaország"	"Európa"
1904	"José Echegaray y Eizaguirre"	"Férfi"	"Spanyolország"	"Európa"
1905	"Henryk Sienkiewicz"	"Férfi"	"Lengyelország"	"Európa"
1906	"Giosue Carducci"	"Férfi"	"Olaszország"	"Európa"
1907	"Rudyard Kipling"	"Férfi"	"Nagy-Britannia"	"Európa"
1908	"Rudolf Christoph Eucken"	"Férfi"	"Németország"	"Európa"
1909	"Selma Lagerlöf"	"Nõ"	"Svédország"	"Európa"
1910	"Paul Heyse"	"Férfi"	"Németország"	"Európa"
1911	"Maurice Maeterlinck gróf"	"Férfi"	"Belgium"	"Európa"
1912	"Gerhart Hauptmann"	"Férfi"	"Németország"	"Európa"
1913	"Rabindranáth Tagore"	"Férfi"	"India"	"Ázsia"
1915	"Romain Rolland"	"Férfi"	"Franciaország"	"Európa"
1916	"Verner von Heidenstam"	"Férfi"	"Svédország"	"Európa"
1917	"Henrik Pontoppidan"	"Férfi"	"Dánia"	"Európa"
1917	"Karl Adolph Gjellerup"	"Férfi"	"Dánia"	"Európa"
1919	"Carl Spitteler"	"Férfi"	"Svájc"	"Európa"
1920	"Knut Hamsun"	"Férfi"	"Norvégia"	"Európa"
1921	"Anatole France"	"Férfi"	"Franciaország"	"Európa"
1922	"Jacinto Benavente"	"Férfi"	"Spanyolország"	"Európa"
1923	"William Butler Yeats"	"Férfi"	"Írország"	"Európa"
1924	"W³adys³aw Reymont"	"Férfi"	"Lengyelország"	"Európa"
1925	"George Bernard Shaw"	"Férfi"	"Írország"	"Európa"
1926	"Grazia Deledda"	"Nõ"	"Olaszország"	"Európa"
1927	"Henri Bergson"	"Férfi"	"Franciaország"	"Európa"
1928	"Sigrid Undset"	"Nõ"	"Norvégia"	"Európa"
1929	"Thomas Mann"	"Férfi"	"Németország"	"Európa"
