"nem";"kor";"isk.vegz";"lakhely";"csaladi.allapot";"ido.mobil.alk";"gyak.facebook";"gyak.messenger";"gyak.instagramm";"gyak.twitter";"gyak.snapchat";"gyak.viber";"gyak.youtube";"gyak.skype";"gyak.spotify";"gyak.bongeszo";"MirehasználodleggyakrabbanamobiltelefonodTöbbválaszismegjelö";"Hahasználodnyelvtanulásraamobiltelefonodmelyikalkalmazástalka";"Azérthasználokmobilalkamazásokatmert......kapcsolatottudoktar";"Azérthasználokmobilalkamazásokatmert......kapcsolatottudokt_A";"Azérthasználokmobilalkamazásokatmert......megkönnyítikatanu";"Azérthasználokmobilalkamazásokatmert......megkönnyítikakomm";"Azérthasználokmobilalkamazásokatmert......kikapcsolamindennap";"Azérthasználokmobilalkamazásokatmert......kiélhetemakreativi";"Azérthasználokmobilalkamazásokatmert......képeketésgondolat";"Azérthasználokmobilalkamazásokatmert......mertmásokishaszná";"Azérthasználokmobilalkamazásokatmert......könnyenhasznosinfo";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Hossz";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Rögt";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Azért";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Szoron";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Hüly";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Hangul";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Kezdem";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Társa";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Halehe";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Jobban";"Mennyirejellemzõekrádazalábbiüzenetváltásiszokások.Könny";"végzettség";"lak";"állapot";"Neme";"Idõ";"gyface";"gymes";"gyinsta";"gytwitter";"gysnapchat";"gyviber";"gyyoutube";"gyskype";"gyspotify";"gychrome";"kapcsolatbarátok";"kapcsolatpár";"könnyíttanulás";"könnyítkomm";"kikapcsol";"kreativitás";"képgondolatmegosztás";"másokis";"információszerzés";"üzenethosszúság";"Tárgyilagos";"Unalomellen";"Szorongás";"Bohóckodás";"Hangulatjelek";"Csoportbeszélgetéskezdés";"Magánbeszélgetéstársaságban";"Üzenetpreferencia";"Megnyílásüzenetben";"Üzenetvonzóembernek";"Üzenetvshívás";"Hasznössz";"Telefonál";"Közösségi";"Szöveges";"Infószerzõ";"Fénykép";"Játék";"Navigáció";"Nyelvtanulás"
"Férfi";27;"Fõiskola/Egyetem";"Megyeszékhely";"Egyedülálló";"2-3 órát";"Naponta többször";"Naponta többször";"Soha";"Soha";"Soha";"Soha";"Hetente többször";"Ritkábban";"Ritkábban";"Naponta többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.)";NA;"5 - teljes mértékben egyetértek";"3 - részben egyetértek";"5 - teljes mértékben egyetértek";"4 - inkább egyetértek";"4 - inkább egyetértek";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"3 - részben egyetértek";"4 - inkább egyetértek";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";5;4;1;1;3;5;5;1;1;1;1;3;2;2;5;5;3;5;4;4;1;1;3;4;2;4;2;2;4;4;2;2;2;1;1;2;4;2;1;2;2;1;1;1;1
"Férfi";22;"Gimnázium/Szakközép iskola";"Megyeszékhely";"Párkapcsolatban";"3-4 órát";"Naponta egyszer";"Naponta többször";"Naponta többször";"Soha";"Naponta többször";"Soha";"Hetente többször";"Ritkábban";"Hetente egyszer";"Naponta többször";"Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.), Fényképezésre";NA;"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"4 - inkább egyetértek";"5 - teljes mértékben egyetértek";"2 - inkább nem értek egyet";"2 - inkább nem értek egyet";"3 - részben egyetértek";"4 - inkább egyetértek";"5 - teljes mértékben egyetértek";"2 - néha jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"4 - gyakran jellemzõ";"5 - mindig jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"3 - általában jellemzõ";"4 - gyakran jellemzõ";4;4;2;1;3;4;5;5;1;5;1;3;2;2;5;5;5;4;5;2;2;3;4;5;2;3;2;4;4;5;2;2;4;3;4;4;4;1;2;2;2;2;1;1;1
"Férfi";23;"Gimnázium/Szakközép iskola";"Megyeszékhely";"Egyedülálló";"2-3 órát";"Naponta többször";"Naponta többször";"Soha";"Soha";"Soha";"Ritkábban";"Naponta többször";"Soha";"Ritkábban";"Naponta többször";"Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.), Telefonos játékokra";NA;"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"2 - inkább nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"5 - teljes mértékben egyetértek";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";"5 - mindig jellemzõ";"4 - gyakran jellemzõ";"4 - gyakran jellemzõ";4;4;1;1;3;5;5;1;1;1;2;5;1;2;5;5;5;5;5;2;1;1;1;5;2;4;1;2;4;4;1;2;5;4;4;5;4;1;2;2;2;1;2;1;1
"Férfi";27;"Fõiskola/Egyetem";"Fõváros";"Párkapcsolatban";"1-2 órát";"Naponta többször";"Naponta többször";"Soha";"Soha";"Soha";"Ritkábban";"Naponta többször";"Ritkábban";"Ritkábban";"Naponta többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.), Youtube";"Duolingo";"5 - teljes mértékben egyetértek";"4 - inkább egyetértek";"5 - teljes mértékben egyetértek";"4 - inkább egyetértek";"3 - részben egyetértek";"3 - részben egyetértek";"3 - részben egyetértek";"2 - inkább nem értek egyet";"5 - teljes mértékben egyetértek";"3 - általában jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"4 - gyakran jellemzõ";"3 - általában jellemzõ";"4 - gyakran jellemzõ";"3 - általában jellemzõ";"3 - általában jellemzõ";5;5;2;1;2;5;5;1;1;1;2;5;2;2;5;5;4;5;4;3;3;3;2;5;3;4;1;1;5;5;4;3;4;3;3;4;5;2;1;2;2;1;1;1;1
"Férfi";24;"Gimnázium/Szakközép iskola";"Város";"Párkapcsolatban";"Kevesebb, mint 1 órát";"Naponta egyszer";"Soha";"Soha";"Soha";"Soha";"Soha";"Soha";"Soha";"Soha";"Soha";"Telefonálásra, Információszerzésre (Böngészõ, Google, Shazam stb.), Fényképezésre";NA;"3 - részben egyetértek";"3 - részben egyetértek";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"4 - inkább egyetértek";"3 - általában jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"4 - gyakran jellemzõ";"3 - általában jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";4;3;2;1;1;4;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;4;3;4;1;1;4;3;1;1;2;1;1;2;3;2;1;1;2;2;1;1;1
"Férfi";21;"Gimnázium/Szakközép iskola";"Megyeszékhely";"Párkapcsolatban";"1-2 órát";"Hetente többször";"Naponta többször";"Soha";"Soha";"Soha";"Soha";"Naponta többször";"Ritkábban";"Soha";"Naponta többször";"Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Információszerzésre (Böngészõ, Google, Shazam stb.), Fényképezésre, Navigáció (GPS, Google Maps stb.)";"Duolingo, Memrise";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"2 - inkább nem értek egyet";"4 - inkább egyetértek";"4 - inkább egyetértek";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"5 - teljes mértékben egyetértek";"5 - mindig jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"4 - gyakran jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"3 - általában jellemzõ";"3 - általában jellemzõ";"4 - gyakran jellemzõ";"5 - mindig jellemzõ";4;4;2;1;2;3;5;1;1;1;1;5;2;1;5;5;5;2;4;4;1;1;1;5;5;4;2;4;4;4;1;3;3;4;5;3;4;2;1;2;2;2;1;2;1
"Férfi";21;"Gimnázium/Szakközép iskola";"Város";"Párkapcsolatban";"1-2 órát";"Soha";"Naponta többször";"Soha";"Soha";"Soha";"Soha";"Ritkábban";"Soha";"Soha";"Hetente többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Telefonos játékokra";NA;"4 - inkább egyetértek";"5 - teljes mértékben egyetértek";"4 - inkább egyetértek";"4 - inkább egyetértek";"2 - inkább nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"2 - inkább nem értek egyet";"4 - inkább egyetértek";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"1 - egyáltalán nem jellemzõ";"4 - gyakran jellemzõ";"5 - mindig jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"4 - gyakran jellemzõ";4;3;2;1;2;1;5;1;1;1;1;2;1;1;3;4;5;4;4;2;1;1;2;4;2;4;1;4;5;4;2;3;4;2;4;4;3;2;1;2;1;1;2;1;1
"Férfi";22;"Gimnázium/Szakközép iskola";"Megyeszékhely";"Párkapcsolatban";"1-2 órát";"Naponta többször";"Naponta többször";"Soha";"Soha";"Soha";"Ritkábban";"Naponta többször";"Soha";"Soha";"Soha";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Információszerzésre (Böngészõ, Google, Shazam stb.), Fényképezésre";"Duolingo, Xeropan";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"2 - inkább nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"5 - teljes mértékben egyetértek";"3 - általában jellemzõ";"3 - általában jellemzõ";"5 - mindig jellemzõ";"1 - egyáltalán nem jellemzõ";"4 - gyakran jellemzõ";"5 - mindig jellemzõ";"2 - néha jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";4;4;2;1;2;5;5;1;1;1;2;5;1;1;1;5;5;5;5;2;1;1;1;5;3;3;5;1;4;5;2;5;5;3;2;5;4;2;1;2;2;2;1;1;1
"Férfi";21;"Gimnázium/Szakközép iskola";"Megyeszékhely";"Párkapcsolatban";"1-2 órát";"Naponta többször";"Naponta többször";"Soha";"Soha";"Soha";"Soha";"Naponta egyszer";"Soha";"Soha";"Naponta többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.)";NA;"4 - inkább egyetértek";"5 - teljes mértékben egyetértek";"1 - egyáltalán nem értek egyet";"5 - teljes mértékben egyetértek";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"5 - teljes mértékben egyetértek";"2 - néha jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"2 - néha jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"2 - néha jellemzõ";"1 - egyáltalán nem jellemzõ";"5 - mindig jellemzõ";"1 - egyáltalán nem jellemzõ";"1 - egyáltalán nem jellemzõ";4;4;2;1;2;5;5;1;1;1;1;4;1;1;5;4;5;1;5;1;1;1;1;5;2;4;2;2;5;5;2;1;5;1;1;5;4;2;1;2;2;2;1;1;1
"Férfi";25;"Gimnázium/Szakközép iskola";"Fõváros";"Egyedülálló";"Több mint 4 órát";"Naponta többször";"Naponta többször";"Soha";"Soha";"Soha";"Soha";"Naponta többször";"Naponta többször";"Soha";"Naponta többször";"Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngészõ, Google, Shazam stb.), Telefonos játékokra, Fényképezésre";NA;"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"5 - teljes mértékben egyetértek";"3 - részben egyetértek";"1 - egyáltalán nem értek egyet";"1 - egyáltalán nem értek egyet";"3 - részben egyetértek";"3 - részben egyetértek";"2 - néha jellemzõ";"5 - mindig jellemzõ";"4 - gyakran jellemzõ";"2 - néha jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"5 - mindig jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";"2 - néha jellemzõ";"3 - általában jellemzõ";4;5;1;1;5;5;5;1;1;1;1;5;5;1;5;5;5;5;5;3;1;1;3;3;2;5;4;2;5;5;5;2;3;2;3;3;6;2;1;2;1;2;1;1;1
