nem	kor	isk.vegz	lakhely	csaladi.allapot	ido.mobil.alk	gyak.facebook	gyak.messenger	gyak.instagramm	gyak.twitter	gyak.snapchat	gyak.viber	gyak.youtube	gyak.skype	gyak.spotify	gyak.bongeszo	MirehasználodleggyakrabbanamobiltelefonodTöbbválaszismegjelö	Hahasználodnyelvtanulásraamobiltelefonodmelyikalkalmazástalka	Azérthasználokmobilalkamazásokatmert......kapcsolatottudoktar	Azérthasználokmobilalkamazásokatmert......kapcsolatottudokt_A	Azérthasználokmobilalkamazásokatmert......megkönnyítikatanu	Azérthasználokmobilalkamazásokatmert......megkönnyítikakomm	Azérthasználokmobilalkamazásokatmert......kikapcsolamindennap	Azérthasználokmobilalkamazásokatmert......kiélhetemakreativi	Azérthasználokmobilalkamazásokatmert......képeketésgondolat	Azérthasználokmobilalkamazásokatmert......mertmásokishaszná	Azérthasználokmobilalkamazásokatmert......könnyenhasznosinfo	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Hossz	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Rögt	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Azért	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Szoron	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Hüly	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Hangul	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Kezdem	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Társa	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Halehe	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Jobban	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Könny	végzettség	lak	állapot	Neme	Idő	gyface	gymes	gyinsta	gytwitter	gysnapchat	gyviber	gyyoutube	gyskype	gyspotify	gychrome	kapcsolatbarátok	kapcsolatpár	könnyíttanulás	könnyítkomm	kikapcsol	kreativitás	képgondolatmegosztás	másokis	információszerzés	üzenethosszúság	Tárgyilagos	Unalomellen	Szorongás	Bohóckodás	Hangulatjelek	Csoportbeszélgetéskezdés	Magánbeszélgetéstársaságban	Üzenetpreferencia	Megnyílásüzenetben	Üzenetvonzóembernek	Üzenetvshívás	Hasznössz	Telefonál	Közösségi	Szöveges	Infószerző	Fénykép	Játék	Navigáció	Nyelvtanulás
Férfi	27	Főiskola/Egyetem	Megyeszékhely	Egyedülálló	2-3 órát	Naponta többször	Naponta többször	Soha	Soha	Soha	Soha	Hetente többször	Ritkábban	Ritkábban	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.)		5 - teljes mértékben egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	4 - inkább egyetértek	4 - inkább egyetértek	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	3 - részben egyetértek	4 - inkább egyetértek	2 - néha jellemző	4 - gyakran jellemző	2 - néha jellemző	2 - néha jellemző	4 - gyakran jellemző	4 - gyakran jellemző	2 - néha jellemző	2 - néha jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	5	4	1	1	3	5	5	1	1	1	1	3	2	2	5	5	3	5	4	4	1	1	3	4	2	4	2	2	4	4	2	2	2	1	1	2	4	2	1	2	2	1	1	1	1
Férfi	22	Gimnázium/Szakközép iskola	Megyeszékhely	Párkapcsolatban	3-4 órát	Naponta egyszer	Naponta többször	Naponta többször	Soha	Naponta többször	Soha	Hetente többször	Ritkábban	Hetente egyszer	Naponta többször	Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	4 - inkább egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	2 - inkább nem értek egyet	3 - részben egyetértek	4 - inkább egyetértek	5 - teljes mértékben egyetértek	2 - néha jellemző	3 - általában jellemző	2 - néha jellemző	4 - gyakran jellemző	4 - gyakran jellemző	5 - mindig jellemző	2 - néha jellemző	2 - néha jellemző	4 - gyakran jellemző	3 - általában jellemző	4 - gyakran jellemző	4	4	2	1	3	4	5	5	1	5	1	3	2	2	5	5	5	4	5	2	2	3	4	5	2	3	2	4	4	5	2	2	4	3	4	4	4	1	2	2	2	2	1	1	1
Férfi	23	Gimnázium/Szakközép iskola	Megyeszékhely	Egyedülálló	2-3 órát	Naponta többször	Naponta többször	Soha	Soha	Soha	Ritkábban	Naponta többször	Soha	Ritkábban	Naponta többször	Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Telefonos játékokra		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	2 - néha jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	4 - gyakran jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	5 - mindig jellemző	4 - gyakran jellemző	4 - gyakran jellemző	4	4	1	1	3	5	5	1	1	1	2	5	1	2	5	5	5	5	5	2	1	1	1	5	2	4	1	2	4	4	1	2	5	4	4	5	4	1	2	2	2	1	2	1	1
Férfi	27	Főiskola/Egyetem	Főváros	Párkapcsolatban	1-2 órát	Naponta többször	Naponta többször	Soha	Soha	Soha	Ritkábban	Naponta többször	Ritkábban	Ritkábban	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Youtube	Duolingo	5 - teljes mértékben egyetértek	4 - inkább egyetértek	5 - teljes mértékben egyetértek	4 - inkább egyetértek	3 - részben egyetértek	3 - részben egyetértek	3 - részben egyetértek	2 - inkább nem értek egyet	5 - teljes mértékben egyetértek	3 - általában jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	5 - mindig jellemző	5 - mindig jellemző	4 - gyakran jellemző	3 - általában jellemző	4 - gyakran jellemző	3 - általában jellemző	3 - általában jellemző	5	5	2	1	2	5	5	1	1	1	2	5	2	2	5	5	4	5	4	3	3	3	2	5	3	4	1	1	5	5	4	3	4	3	3	4	5	2	1	2	2	1	1	1	1
Férfi	24	Gimnázium/Szakközép iskola	Város	Párkapcsolatban	Kevesebb, mint 1 órát	Naponta egyszer	Soha	Soha	Soha	Soha	Soha	Soha	Soha	Soha	Soha	Telefonálásra, Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre		3 - részben egyetértek	3 - részben egyetértek	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	4 - inkább egyetértek	3 - általában jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	4 - gyakran jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	4	3	2	1	1	4	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	4	3	4	1	1	4	3	1	1	2	1	1	2	3	2	1	1	2	2	1	1	1
Férfi	21	Gimnázium/Szakközép iskola	Megyeszékhely	Párkapcsolatban	1-2 órát	Hetente többször	Naponta többször	Soha	Soha	Soha	Soha	Naponta többször	Ritkábban	Soha	Naponta többször	Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre, Navigáció (GPS, Google Maps stb.)	Duolingo, Memrise	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	4 - inkább egyetértek	4 - inkább egyetértek	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	5 - mindig jellemző	4 - gyakran jellemző	2 - néha jellemző	4 - gyakran jellemző	4 - gyakran jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	3 - általában jellemző	3 - általában jellemző	4 - gyakran jellemző	5 - mindig jellemző	4	4	2	1	2	3	5	1	1	1	1	5	2	1	5	5	5	2	4	4	1	1	1	5	5	4	2	4	4	4	1	3	3	4	5	3	4	2	1	2	2	2	1	2	1
Férfi	21	Gimnázium/Szakközép iskola	Város	Párkapcsolatban	1-2 órát	Soha	Naponta többször	Soha	Soha	Soha	Soha	Ritkábban	Soha	Soha	Hetente többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Telefonos játékokra		4 - inkább egyetértek	5 - teljes mértékben egyetértek	4 - inkább egyetértek	4 - inkább egyetértek	2 - inkább nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	2 - inkább nem értek egyet	4 - inkább egyetértek	2 - néha jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	4 - gyakran jellemző	5 - mindig jellemző	4 - gyakran jellemző	2 - néha jellemző	3 - általában jellemző	4 - gyakran jellemző	2 - néha jellemző	4 - gyakran jellemző	4	3	2	1	2	1	5	1	1	1	1	2	1	1	3	4	5	4	4	2	1	1	2	4	2	4	1	4	5	4	2	3	4	2	4	4	3	2	1	2	1	1	2	1	1
Férfi	22	Gimnázium/Szakközép iskola	Megyeszékhely	Párkapcsolatban	1-2 órát	Naponta többször	Naponta többször	Soha	Soha	Soha	Ritkábban	Naponta többször	Soha	Soha	Soha	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre	Duolingo, Xeropan	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	3 - általában jellemző	3 - általában jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	4 - gyakran jellemző	5 - mindig jellemző	2 - néha jellemző	5 - mindig jellemző	5 - mindig jellemző	3 - általában jellemző	2 - néha jellemző	4	4	2	1	2	5	5	1	1	1	2	5	1	1	1	5	5	5	5	2	1	1	1	5	3	3	5	1	4	5	2	5	5	3	2	5	4	2	1	2	2	2	1	1	1
Férfi	21	Gimnázium/Szakközép iskola	Megyeszékhely	Párkapcsolatban	1-2 órát	Naponta többször	Naponta többször	Soha	Soha	Soha	Soha	Naponta egyszer	Soha	Soha	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.)		4 - inkább egyetértek	5 - teljes mértékben egyetértek	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	2 - néha jellemző	4 - gyakran jellemző	2 - néha jellemző	2 - néha jellemző	5 - mindig jellemző	5 - mindig jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	4	4	2	1	2	5	5	1	1	1	1	4	1	1	5	4	5	1	5	1	1	1	1	5	2	4	2	2	5	5	2	1	5	1	1	5	4	2	1	2	2	2	1	1	1
Férfi	25	Gimnázium/Szakközép iskola	Főváros	Egyedülálló	Több mint 4 órát	Naponta többször	Naponta többször	Soha	Soha	Soha	Soha	Naponta többször	Naponta többször	Soha	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Telefonos játékokra, Fényképezésre		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	3 - részben egyetértek	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	3 - részben egyetértek	3 - részben egyetértek	2 - néha jellemző	5 - mindig jellemző	4 - gyakran jellemző	2 - néha jellemző	5 - mindig jellemző	5 - mindig jellemző	5 - mindig jellemző	2 - néha jellemző	3 - általában jellemző	2 - néha jellemző	3 - általában jellemző	4	5	1	1	5	5	5	1	1	1	1	5	5	1	5	5	5	5	5	3	1	1	3	3	2	5	4	2	5	5	5	2	3	2	3	3	6	2	1	2	1	2	1	1	1
